symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain,change_from_prior_period
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,15.100,3268.140,3074.700,3399.990,-325.290,-193.440
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,39.490,2161.710,2041.270,2199.980,-158.710,-120.440
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,16.630,3276.720,3037.450,3399.990,-362.540,-239.270
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,37.088,397.680,395.940,399.980,-4.040,-1.740
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,57.140,1410.630,1356.730,1400.000,-43.270,-53.900
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,47.890,7836.950,7399.670,7999.960,-600.290,-437.280
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,20.135,1004.440,982.240,1000.000,-17.760,-22.200
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,24.060,614.840,611.290,599.990,11.300,-3.550
CWCO,CONSOLIDATED WATER CO LTD,19.186,24.490,519.360,469.860,499.990,-30.130,-49.500
ALCO,ALICO INC,7.630,29.840,224.090,227.670,199.980,27.690,3.580
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,147.520,576.370,625.330,599.960,25.370,48.960
APO,APOLLO GLOBAL MGMT INC COM,5.860,136.940,874.720,802.460,879.920,-77.460,-72.260
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,532.580,5615.130,5820.030,5499.910,320.120,204.900
BX,BLACKSTONE INC,14.422,139.780,2324.240,2015.900,2309.850,-293.950,-308.340
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,48.460,296.470,316.100,349.980,-33.880,19.630
ECL,ECOLAB INC,1.920,253.520,516.490,486.750,499.910,-13.160,-29.740
FERG,FERGUSON ENTERPRISES INC COM,1.465,160.230,260.030,234.730,299.960,-65.230,-25.300
GWRS,GLOBAL WTR RES INC COM ISIN #US3794631024 SEDOL #BD31884,7.556,10.310,86.740,77.900,99.990,-22.090,-8.840
KKR,KKR &CO INC COM,8.149,115.610,1104.920,942.100,1099.950,-157.850,-162.820
L,LOEWS CORP COM USD0.01,6.422,91.910,556.590,590.240,550.000,40.240,33.650
TPG,TPG INC COM CL A,11.880,47.430,655.300,563.460,659.970,-96.510,-91.840
WAT,WATERS CORP,0.713,368.570,269.040,262.790,249.660,13.130,-6.250
XYL,XYLEM INC COM USD0.01,3.354,119.460,439.000,400.660,449.980,-49.320,-38.340
FPI,FARMLAND PARTNERS INC COM,54.544,11.150,639.800,608.160,599.990,8.170,-31.640
LAND,GLADSTONE LD CORP COM,55.708,10.520,638.410,586.040,742.190,-156.150,-52.370
