symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain,change_from_prior_period
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,14.490,3074.700,2950.490,3399.990,-449.500,-124.210
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,38.340,2041.270,1981.830,2199.980,-218.150,-59.440
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,16.300,3037.450,2977.170,3399.990,-422.820,-60.280
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,37.570,395.940,401.090,399.980,1.110,5.150
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,55.590,1356.730,1319.920,1400.000,-80.080,-36.810
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,47.220,7399.670,7296.150,7999.960,-703.810,-103.520
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,20.100,982.240,980.530,1000.000,-19.470,-1.710
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,23.650,611.290,600.870,599.990,0.880,-10.420
CWCO,CONSOLIDATED WATER CO LTD,19.186,23.240,469.860,445.880,499.990,-54.110,-23.980
ALCO,ALICO INC,7.630,28.540,227.670,217.760,199.980,17.780,-9.910
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,147.010,625.330,623.170,599.960,23.210,-2.160
APO,APOLLO GLOBAL MGMT INC COM,5.860,136.480,802.460,799.770,879.920,-80.150,-2.690
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,533.250,5820.030,5827.350,5499.910,327.440,7.320
BX,BLACKSTONE INC,14.422,131.710,2015.900,1899.520,2309.850,-410.330,-116.380
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,50.650,316.100,330.380,349.980,-19.600,14.280
ECL,ECOLAB INC,1.920,251.430,486.750,482.740,499.910,-17.170,-4.010
FERG,FERGUSON ENTERPRISES INC COM,1.465,169.660,234.730,248.550,299.960,-51.410,13.820
GWRS,GLOBAL WTR RES INC COM ISIN #US3794631024 SEDOL #BD31884,7.556,10.430,77.900,78.800,99.990,-21.190,0.900
KKR,KKR &CO INC COM,8.149,114.270,942.100,931.180,1099.950,-168.770,-10.920
L,LOEWS CORP COM USD0.01,6.422,86.830,590.240,557.620,550.000,7.620,-32.620
TPG,TPG INC COM CL A,11.880,46.450,563.460,551.820,659.970,-108.150,-11.640
WAT,WATERS CORP,0.713,347.730,262.790,247.930,249.660,-1.730,-14.860
XYL,XYLEM INC COM USD0.01,3.354,120.570,400.660,404.390,449.980,-45.590,3.730
FPI,FARMLAND PARTNERS INC COM,54.544,10.060,608.160,548.710,599.990,-51.280,-59.450
LAND,GLADSTONE LD CORP COM,55.708,9.930,586.040,553.180,742.190,-189.010,-32.860
